iter	Passed	Remaining
591	2541	1751
592	2546	1747
593	2550	1743
594	2555	1739
595	2559	1734
596	2563	1730
597	2568	1726
598	2572	1722
599	2576	1717
600	2580	1713
601	2585	1709
602	2589	1705
603	2593	1700
604	2597	1696
605	2602	1691
606	2606	1687
607	2610	1683
608	2614	1678
609	2619	1674
610	2623	1670
611	2627	1665
612	2631	1661
613	2635	1656
614	2639	1652
615	2643	1648
616	2647	1643
617	2652	1639
618	2656	1635
619	2660	1630
620	2665	1626
621	2669	1622
622	2673	1618
623	2677	1613
624	2682	1609
625	2686	1604
626	2690	1600
627	2694	1596
628	2699	1592
629	2703	1587
630	2707	1583
631	2711	1578
632	2715	1574
633	2719	1570
634	2724	1565
635	2727	1561
636	2732	1557
637	2736	1552
638	2740	1548
639	2744	1543
640	2748	1539
641	2752	1535
642	2757	1530
643	2760	1526
644	2765	1522
645	2769	1517
646	2773	1513
647	2777	1508
648	2782	1504
649	2786	1500
650	2790	1496
651	2794	1491
652	2799	1487
653	2803	1483
654	2807	1478
655	2811	1474
656	2815	1470
657	2819	1465
658	2824	1461
659	2828	1456
660	2833	1452
661	2837	1448
662	2841	1444
663	2845	1439
664	2849	1435
665	2853	1431
666	2858	1426
667	2862	1422
668	2866	1418
669	2870	1413
670	2874	1409
671	2879	1405
672	2883	1400
673	2887	1396
674	2891	1392
675	2895	1387
676	2899	1383
677	2903	1379
678	2907	1374
679	2913	1371
680	2919	1367
681	2924	1363
682	2928	1359
683	2933	1355
684	2938	1351
685	2942	1347
686	2947	1342
687	2952	1338
688	2956	1334
689	2960	1330
690	2964	1325
691	2969	1321
692	2973	1317
693	2977	1313
694	2981	1308
695	2986	1304
696	2990	1300
697	2994	1295
698	2998	1291
699	3002	1286
700	3006	1282
701	3011	1278
702	3015	1273
703	3020	1269
704	3024	1265
705	3027	1260
706	3032	1256
707	3036	1252
708	3040	1247
709	3044	1243
710	3048	1239
711	3053	1234
712	3057	1230
713	3061	1226
714	3065	1221
715	3069	1217
716	3073	1213
717	3077	1208
718	3081	1204
719	3085	1200
720	3089	1195
721	3094	1191
722	3098	1187
723	3102	1182
724	3106	1178
725	3110	1174
726	3114	1169
727	3119	1165
728	3123	1161
729	3127	1156
730	3131	1152
731	3135	1148
732	3140	1143
733	3144	1139
734	3149	1135
735	3153	1131
736	3157	1126
737	3161	1122
738	3165	1118
739	3169	1113
740	3174	1109
741	3177	1105
742	3182	1100
743	3186	1096
744	3190	1092
745	3194	1087
746	3199	1083
747	3203	1079
748	3207	1074
749	3211	1070
750	3215	1066
751	3219	1061
752	3223	1057
753	3227	1053
754	3232	1048
755	3236	1044
756	3240	1040
757	3244	1035
758	3249	1031
759	3253	1027
760	3257	1023
761	3262	1018
762	3266	1014
763	3270	1010
764	3274	1005
765	3278	1001
766	3283	997
767	3287	992
768	3291	988
769	3295	984
770	3299	980
771	3303	975
772	3307	971
773	3311	967
774	3316	962
775	3320	958
776	3324	954
777	3328	949
778	3332	945
779	3336	941
780	3340	936
781	3344	932
782	3349	928
783	3353	923
784	3357	919
785	3361	915
786	3365	910
787	3369	906
788	3373	902
789	3377	897
790	3381	893
791	3386	889
792	3390	884
793	3394	880
794	3398	876
795	3402	872
796	3406	867
797	3410	863
798	3414	859
799	3418	854
800	3422	850
801	3426	846
802	3431	841
803	3435	837
804	3439	833
805	3443	828
806	3447	824
807	3451	820
808	3456	815
809	3460	811
810	3464	807
811	3468	803
812	3472	798
813	3477	794
814	3481	790
815	3485	785
816	3489	781
817	3494	777
818	3498	773
819	3502	768
820	3507	764
821	3511	760
822	3516	756
823	3520	751
824	3524	747
825	3528	743
826	3533	739
827	3537	734
828	3541	730
829	3546	726
830	3550	722
831	3554	717
832	3559	713
833	3564	709
834	3568	705
835	3572	700
836	3577	696
837	3582	692
838	3586	688
839	3591	684
840	3595	679
841	3599	675
842	3603	671
843	3607	666
844	3612	662
845	3616	658
846	3620	653
847	3624	649
848	3628	645
849	3632	641
850	3636	636
851	3640	632
852	3644	628
853	3648	623
854	3652	619
855	3657	615
856	3661	611
857	3665	606
858	3670	602
859	3674	598
860	3678	593
861	3682	589
862	3686	585
863	3691	581
864	3695	576
865	3699	572
866	3703	568
867	3708	563
868	3712	559
869	3716	555
870	3720	550
871	3724	546
872	3728	542
873	3732	538
874	3736	533
875	3740	529
876	3744	525
877	3748	520
878	3752	516
879	3756	512
880	3761	508
881	3765	503
882	3769	499
883	3774	495
884	3778	490
885	3782	486
886	3786	482
887	3790	478
888	3794	473
889	3798	469
890	3803	465
891	3807	461
892	3811	456
893	3815	452
894	3819	448
895	3823	443
896	3827	439
897	3831	435
898	3835	430
899	3840	426
900	3844	422
901	3848	418
902	3852	413
903	3857	409
904	3861	405
905	3865	401
906	3869	396
907	3874	392
908	3878	388
909	3883	384
910	3887	379
911	3891	375
912	3895	371
913	3899	366
914	3903	362
915	3908	358
916	3912	354
917	3916	349
918	3920	345
919	3924	341
920	3928	337
921	3932	332
922	3937	328
923	3941	324
924	3945	319
925	3949	315
926	3953	311
927	3957	307
928	3961	302
929	3965	298
930	3969	294
931	3974	289
932	3978	285
933	3982	281
934	3986	277
935	3990	272
936	3995	268
937	3999	264
938	4003	260
939	4007	255
940	4012	251
941	4016	247
942	4020	243
943	4024	238
944	4028	234
945	4032	230
946	4037	225
947	4041	221
948	4045	217
949	4049	213
950	4054	208
951	4058	204
952	4062	200
953	4066	196
954	4070	191
955	4074	187
956	4078	183
957	4083	179
958	4087	174
959	4091	170
960	4095	166
961	4099	161
962	4103	157
963	4108	153
964	4112	149
965	4116	144
966	4120	140
967	4124	136
968	4128	132
969	4132	127
970	4136	123
971	4140	119
972	4145	115
973	4149	110
974	4153	106
975	4157	102
976	4161	97
977	4165	93
978	4169	89
979	4174	85
980	4178	80
981	4182	76
982	4187	72
983	4191	68
984	4195	63
985	4200	59
986	4204	55
987	4208	51
988	4212	46
989	4216	42
990	4220	38
991	4224	34
992	4229	29
993	4233	25
994	4237	21
995	4241	17
996	4245	12
997	4249	8
998	4253	4
999	4258	0
